Name,SSN,Bar,License
"Alice Osborn",432-18-03,CARAVAN,034340-6674
"Alice Osborn",432-18-03,"CAVA RESTAURANT",727659-2461
"Alice Phelps",064-95-09,"SPRING BEER HOUSE",556027-9498
"Alice Phelps",064-95-09,"KINGSVIEW CLUB",047272-1463
"Alice Phelps",064-95-09,"SEOULFOOD DC",328119-7933
"Alika Navarro",660-44-01,"KWIK BAR & GRILL",343655-3428
"Alika Navarro",660-44-01,"WORLD OF BEER",749156-9476
"Alika Navarro",660-44-01,"The Italian Job",664654-3022
"Aline Dejesus",454-18-05,"The Wigmore",785196-5934
"Aline Hess",338-13-08,"Genatzvale Hall",825794-2857
"Aline Hess",338-13-08,"CHOICE ",075626-4206
"Aline Lowe",261-36-04,"TAIPEI CAFE",083408-0624
"Aline Lowe",261-36-04,"Long Bar",395573-9457
"Alisa Acevedo",093-67-07,"En Vrac",065245-1634
"Alisa Foreman",020-78-03,"LA FERME",978070-9847
"Alisa Foreman",020-78-03,"PINES OF ROME",012827-6557
"Alisa Peck",697-49-01,CARAVAN,034340-6674
"Allegra Barker",422-37-04,"KOREAN KORNER",252115-9828
"Allegra Duffy",880-03-09,Bruxelles,935080-2824
"Allegra Duffy",880-03-09,BALDUCCI'S,189932-3255
"Allen Allison",593-28-08,"LA MADELEINE",027174-2033
"Allen Mathis",799-38-05,"Bar Italiya",278532-0199
"Allen Mathis",799-38-05,"Purple Bar at Sanderson",016922-4284
"Allen Mathis",799-38-05,"Ninetyeight Bar & Lounge",023694-3510
"Allen Mcclure",662-48-07,"CAVA RESTAURANT",727659-2461
"Allen Ruiz",806-99-05,"IL PORTO",657698-5615
"Allen Villarreal",208-81-07,"CHAPALA RESTAURANT",659157-0376
"Allen Villarreal",208-81-07,"LONGHORN STEAKHOUSE",039890-9002
"Allistair Ball",655-55-08,"BOCA BOTANA'S",633641-0946
"Allistair Ball",655-55-08,"KOREAN KORNER",252115-9828
"Allistair Ball",655-55-08,"MRS. K'S TOLL HOUSE",204463-2632
"Allistair Ball",655-55-08,"THAI TASTE",393201-0154
"Allistair Ball",655-55-08,SASUNS,239755-5612
"Allistair Hutchinson",636-58-04,"PINEY BRANCH PUB",574707-0877
"Allistair Hutchinson",636-58-04,BECLAWS,269500-5799
"Allistair Jensen",726-40-00,Budvar,826130-4276
"Allistair Jensen",726-40-00,"St. James Tavern",454665-2704
"Allistair Newman",431-32-01,"John Donne Pub",575493-8545
"Allistair Newman",431-32-01,"IL PORTO",657698-5615
"Allistair Pena",637-25-07,"Khoroshaya Ideya",627149-2743
"Allistair Pena",637-25-07,"TOMMY JOE'S BAR & GRILL",538974-8509
"Allistair Pena",637-25-07,"Roy Castle Pub",026389-3547
"Allistair Zimmerman",424-68-05,"PASSION FISH",994587-9188
"Allistair Zimmerman",424-68-05,"Le Tr?s Particulier",432512-8710
"Allistair Zimmerman",424-68-05,"CHEESESTEAK MIKE'S",214195-2529
"Alma Schmidt",646-72-09,"RUSSIAN GOURMET",635427-3838
"Alma Schmidt",646-72-09,"CHICKEN BASKET",392762-0769
"Alma Shaffer",675-68-06,"ASPEN HILL BAR & GRILL",122581-2526
"Alma Shaffer",675-68-06,SAMOVAR,569005-3193
"Alma Shaffer",675-68-06,"Ninetyeight Bar & Lounge",023694-3510
"Althea Daniel",071-54-09,"BOCA BOTANA'S",633641-0946
"Althea Daniel",071-54-09,"MRS. K'S TOLL HOUSE",204463-2632
"Althea Daniel",071-54-09,"THAI TASTE",393201-0154
"Althea Glover",751-94-02,"BROOKVILLE EATERY",405616-0742
"Althea Glover",751-94-02,"Britannia Arms",033266-5462
"Althea Glover",751-94-02,SAFEWAY,076279-9393
"Althea Glover",751-94-02,Anderdog,426308-0014
"Althea Glover",751-94-02,"MAPLE BEER AND WINE",624171-7682
"Althea Glover",751-94-02,"PETER'S GRILL",567033-1627
"Althea Glover",751-94-02,"MIX BAR & GRILL",167553-1543
"Althea Harding",724-04-08,"La Fontaine de Belleville",035952-6936
"Althea Harding",724-04-08,CANOPY,993738-4536
"Althea Price",606-85-01,"CANA BEER & WINE",192695-6895
"Althea Vance",156-09-06,"PIZZERIA DAMARCO",443927-4046
"Althea Vance",156-09-06,"EL AMATE RESTAURANT",284564-0263
"Althea Vance",156-09-06,"BANGKOK GARDEN RESTAURANT",577007-7120
"Althea Weiss",740-67-08,"SHANGHAI VILLAGE",329549-8939
"Althea West",579-16-08,"John Donne Pub",575493-8545
"Alvin Lamb",019-37-08,"Le Syndicat",555889-1650
"Alvin Lamb",019-37-08,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Alvin Lamb",019-37-08,"Bar Neon Monkey",829829-6701
"Alvin Lamb",019-37-08,"HOP N GRAPE",197460-5337
"Alvin Porter",112-71-02,"A.P. Stump's",MA12347
"Alvin Porter",112-71-02,"SIU'S ASIAN BISTRO",647562-0404
"Alvin Smith",684-63-08,"La Commune",273086-1339
"Alyssa Mercer",311-24-01,"Britannia Arms",033266-5462
"Alyssa Mercer",311-24-01,"MAPLE BEER AND WINE",624171-7682
"Alyssa Mercer",311-24-01,"MIX BAR & GRILL",167553-1543
"Alyssa Morales",572-34-00,"BROOKVILLE EATERY",405616-0742
"Alyssa Morales",572-34-00,SAFEWAY,076279-9393
"Alyssa Morales",572-34-00,"MAPLE BEER AND WINE",624171-7682
"Alyssa Taylor",097-48-07,"John Donne Pub",575493-8545
"Alyssa Wiley",228-83-00,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Alyssa William",806-15-06,"PASSION FISH",994587-9188
"Alyssa William",806-15-06,Candelaria,645845-0472
"Alyssa William",806-15-06,"CHEESESTEAK MIKE'S",214195-2529
"Amal Everett",448-33-00,"ADDISU GEBEYA",659375-5835
"Amal Everett",448-33-00,"Belgian Pub BeerHouse",416665-7371
"Amal Everett",448-33-00,"THAI AT SILVER SPRING",887258-6824
"Amal Harris",206-60-07,EGGSPECTATION,459940-2189
"Amal Harris",206-60-07,"L'Ours Bar",402911-2895
"Amal Hinton",777-64-06,Vermuteria,196332-2001
"Amal Hinton",777-64-06,"ALL SET",604478-1638
"Amal Hinton",777-64-06,"Lord John Russell Pub",804154-3375
"Amal Nelson",502-58-03,"Septime La Cave",207005-7456
"Amal Todd",077-67-03,Porosello,775033-0743
"Amal Todd",077-67-03,"HOT POT LEGEND",268449-3063
"Amal Todd",077-67-03,"MAMMA LENA",287813-8268
"Amanda Chavez",786-46-00,"KINGSVIEW CLUB",047272-1463
"Amanda Chavez",786-46-00,"SEOULFOOD DC",328119-7933
"Amanda Chavez",786-46-00,"Giza Hookah Lounge",309407-2687
"Amanda Stafford",056-75-08,SAMOVAR,569005-3193
"Amanda Stafford",056-75-08,"Bar Italiya",278532-0199
"Amanda Stafford",056-75-08,"Ninetyeight Bar & Lounge",023694-3510
"Amanda Wallace",606-25-01,"Il Fornaio",698268-4422
"Amanda Wallace",606-25-01,"Blue Tattoo",768883-3750
"Amanda Wallace",606-25-01,"Monsieur Antoine",522107-1714
"Amaya Christensen",689-72-08,"TARA THAI RESTAURANT",033029-0636
"Amaya Christensen",689-72-08,"EVA LOUNGE",243206-3382
"Amaya Lopez",627-71-02,Moonshiner,807305-7500
"Amaya Lopez",627-71-02,"SOUTHLAWN RESTAURANT",558375-0236
"Amaya Lopez",627-71-02,Artesian,023683-4925
"Amaya Mcdaniel",507-82-05,"GOLF ULTRA LOUNGE",008054-3713
"Amaya Mcdaniel",507-82-05,"TARA THAI",514464-4324
"Amaya Reynolds",319-59-03,"The Lounge",557061-3801
"Amaya Reynolds",319-59-03,"YEKTA KABOBI",018125-2537
"Amaya Reynolds",319-59-03,"TOKYO SUSHI",963932-2784
"Amaya Reynolds",319-59-03,"TEX'S PLACE",137395-0748
"Amaya Reynolds",319-59-03,"BENIHANA OF TOKYO",746233-3159
"Amaya Rosa",269-47-09,EGGSPECTATION,459940-2189
"Amaya Rosa",269-47-09,"L'Ours Bar",402911-2895
"Amaya Rosa",269-47-09,"Genatzvale Hall",825794-2857
"Amaya Solis",598-43-02,"SIU'S ASIAN BISTRO",647562-0404
"Amaya Solis",598-43-02,"ATTMAN'S BAR & GRILL",548813-2340
"Amaya Solis",598-43-02,"The Ship and Whale",986328-7539
"Amber Marshall",640-59-08,"BARKING MAD CAFE",173337-7970
"Amber Marshall",640-59-08,"La Fontaine de Belleville",035952-6936
"Amber Marshall",640-59-08,CANOPY,993738-4536
"Amber Talley",542-82-00,"Castor Club",812147-3998
"Amber Talley",542-82-00,N-EUROMART,913546-5087
"Amber Talley",542-82-00,"Gecko Grill",446219-2628
"Amela Clements",861-35-01,"The B-Hive",159927-7181
"Amela Pacheco",092-64-06,"SIU'S ASIAN BISTRO",647562-0404
"Amela Pacheco",092-64-06,"The Ship and Whale",986328-7539
"Amelia Fulton",433-73-06,Porosello,775033-0743
"Amelia Fulton",433-73-06,"Beaufort Bar",934943-7856
"Amelia Fulton",433-73-06,"HOT POT LEGEND",268449-3063
"Amelia Fulton",433-73-06,"MAMMA LENA",287813-8268
"Amelia Schneider",391-25-04,Porosello,775033-0743
"Amelia Schneider",391-25-04,"Satan's Whiskers",786366-9730
"Amelia Schneider",391-25-04,"Beaufort Bar",934943-7856
"Amelia Taylor",614-66-09,Moonshiner,807305-7500
"Amelia Taylor",614-66-09,"Aux Folies",178856-0090
"Amelia Taylor",614-66-09,Artesian,023683-4925
"Amelia Taylor",614-66-09,"Brass Monkey",704506-9023
"Amena Barker",300-96-07,"PINEY BRANCH PUB",574707-0877
"Amena Barker",300-96-07,"TARA THAI RESTAURANT",033029-0636
"Amena Barker",300-96-07,"EVA LOUNGE",243206-3382
"Amena Riggs",631-71-04,"The Rivoli Bar",726147-6027
"Amena Riggs",631-71-04,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Amery Bright",872-81-06,"MAMMA LUCIA",825954-1152
"Amery Bright",872-81-06,"EL PAISANO",269448-6792
"Amery Bright",872-81-06,"POSITANO RISTORANTE ITALIANO",784026-4704
"Amery Bright",872-81-06,"MIDWAY PUB",589827-6299
"Amery Castaneda",843-18-01,"AY! JALISCO II",622517-0445
"Amery Castaneda",843-18-01,"AY! JALISCO",139198-2533
"Amery Douglas",384-98-05,"SPRING BEER HOUSE",556027-9498
"Amery Douglas",384-98-05,"TAKOMA PARK PUB",562552-4672
"Amery Douglas",384-98-05,BALDUCCI'S,189932-3255
"Amery Douglas",384-98-05,"SEOULFOOD DC",328119-7933
"Amery Douglas",384-98-05,"Giza Hookah Lounge",309407-2687
"Amery Gibson",049-10-02,"Monsieur Antoine",522107-1714
"Amery Gibson",049-10-02,"SALA THAI ",339365-4516
"Amery Sawyer",865-97-07,"BARREL & CROW",938023-9690
"Amery Sawyer",865-97-07,"Daly's Wine Bar",686766-4572
"Amethyst Carlson",171-31-08,"CANA BEER & WINE",192695-6895
"Amethyst Ellison",308-27-02,"COUNTRY BOY CLUB",565494-6333
"Amethyst Ellison",308-27-02,SAMANTHA'S,065321-9717
"Amethyst Ellison",308-27-02,"Bar Hemingway",573547-0154
"Amethyst Ellison",308-27-02,"OLNEY ALE HOUSE",103007-8750
"Amethyst Fitzpatrick",162-50-03,"THE GREENE TURTLE-Az",272426-2650
"Amethyst Flynn",094-24-06,"CHOICE ",075626-4206
"Amethyst Hendrix",677-12-02,"THE GREENE TURTLE-Az",272426-2650
"Amethyst Middleton",481-96-05,"A.P. Stump's",MA12347
"Amethyst Middleton",481-96-05,"The Ship and Whale",986328-7539
"Amir Beasley",775-62-09,"TACO BAR",417478-9703
"Amir Beasley",775-62-09,"THE YO YO CAFE",347113-2062
"Amir Conrad",733-11-00,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Amir Conrad",733-11-00,"SOUTHLAWN RESTAURANT",558375-0236
"Amir Conrad",733-11-00,Artesian,023683-4925
"Amir Conrad",733-11-00,"Brass Monkey",704506-9023
"Amir Decker",676-86-04,"DULCINEA BAR & GRILL",155187-4140
"Amir Decker",676-86-04,"NORMANDIE FARM RESTAURANT",604511-6289
"Amir Decker",676-86-04,"TAIPEI TOKYO",147454-4051
"Amir Francis",194-63-02,"PIZZERIA DAMARCO",443927-4046
"Amir Francis",194-63-02,"EL AMATE RESTAURANT",284564-0263
"Amir Francis",194-63-02,M&BZ,474140-4315
"Amir Larson",194-30-01,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Amir Larson",194-30-01,"St. James Tavern",454665-2704
"Amir Larson",194-30-01,"Coconut Willie's Cocktail Loun",103228-2632
"Amir Navarro",488-82-03,"Roy Castle Pub",026389-3547
"Amir Ratliff",331-87-00,"John Donne Pub",575493-8545
"Amir Ratliff",331-87-00,"GOURMET PUB",238323-5054
"Amir Ratliff",331-87-00,"IL PORTO",657698-5615
"Amir Stephenson",223-68-00,"LOCK 72 KITCHEN & BAR",797572-9430
"Amir Stephenson",223-68-00,"PETER CHANG'S CHINA BISTRO",578989-6023
"Amos Hatfield",675-07-09,EGGSPECTATION,459940-2189
"Amos Hatfield",675-07-09,"Genatzvale Hall",825794-2857
"Amos Hatfield",675-07-09,"CHOICE ",075626-4206
"Amos Hatfield",675-07-09,SILVER,716079-8588
"Amos Lancaster",091-38-06,"J N K BEER & WINE",368909-3791
"Amos Lancaster",091-38-06,"MELLOW MUSHROOM",826547-8266
"Amos Velez",421-73-08,"Lord John Russell Pub",804154-3375
"Amos Weaver",438-92-04,"WOODMONT GRILL",277650-5097
"Amos Weaver",438-92-04,"Le CopperBay",146626-5681
"Amy Bowman",737-11-05,"Beertep Craft Pub",052726-7009
"Amy Glenn",652-69-02,Combat,163829-1896
"Amy Glenn",652-69-02,"La Fine Mousse",234798-4284
"Amy Glenn",652-69-02,"Ulysses Pub",603310-5963
"Amy Glenn",652-69-02,"LOS COBANOS RESTAURANT",312938-5286
"Amy Velez",588-80-08,"The B-Hive",159927-7181
"Amy Velez",588-80-08,"TWINBROOK BAR",792185-8796
"Anastasia Blanchard",461-45-07,"Ulysses Pub",603310-5963
"Anastasia Blanchard",461-45-07,"Kings Stores",905752-1115
"Anastasia Blanchard",461-45-07,"LOS COBANOS RESTAURANT",312938-5286
"Anastasia Delaney",678-84-04,Combat,163829-1896
"Anastasia Delaney",678-84-04,"Ulysses Pub",603310-5963
"Anastasia Fitzgerald",288-70-08,"L’avant comptoir du marché",508969-5034
"Anastasia Garrison",448-03-01,CLYDE'S,098193-2403
"Anastasia Garrison",448-03-01,"KENTLANDS GOURMET",457142-3666
"Anastasia Garrison",448-03-01,"The Bar at The Dorchester",137269-3752
"Anastasia Henson",496-91-08,"The B-Hive",159927-7181
"Anastasia Henson",496-91-08,"L’avant comptoir du marché",508969-5034
"Anastasia Henson",496-91-08,"Les Trois 8",066016-1696
"Anastasia Price",865-52-03,"A.P. Stump's",MA12347
"Anastasia Price",865-52-03,"SIU'S ASIAN BISTRO",647562-0404
"Andrew Branch",265-44-00,"SPRING BEER HOUSE",556027-9498
"Andrew Branch",265-44-00,"KINGSVIEW CLUB",047272-1463
"Andrew Branch",265-44-00,Bruxelles,935080-2824
"Andrew Branch",265-44-00,"SEOULFOOD DC",328119-7933
"Andrew Branch",265-44-00,"Giza Hookah Lounge",309407-2687
"Andrew Bridges",294-05-00,"TACO BAR",417478-9703
"Andrew Bridges",294-05-00,"PARTY TIME LOUNGE",513075-0960
"Andrew Bruce",770-84-00,"The B-Hive",159927-7181
"Andrew Carlson",340-26-01,"The Coral Room",336670-1716
"Andrew Carlson",340-26-01,"WATERSHED CAFE",668344-5222
"Andrew Carlson",340-26-01,"The Chandos Arms",072616-5319
"Andrew Craft",001-56-08,"L'Avant Comptoir de la Mer",972787-2484
"Andrew Craft",001-56-08,"METRO CLUB",289884-2378
"Andrew Craft",001-56-08,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Andrew Craft",001-56-08,"LA MADELEINE",027174-2033
"Andrew Green",687-48-04,"J N K BEER & WINE",368909-3791
"Andrew Holcomb",800-99-08,"John Donne Pub",575493-8545
"Andrew Holcomb",800-99-08,"GOURMET PUB",238323-5054
"Andrew Slater",814-41-04,Bisou,152664-4651
"Andrew Vega",094-67-03,"Aux Folies",178856-0090
"Andrew Vega",094-67-03,Neko,097147-8367
"Andrew Vega",094-67-03,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Andrew Vega",094-67-03,"SOUTHLAWN RESTAURANT",558375-0236
"Andrew Vega",094-67-03,"BACCHUS OF LEBANON",397549-9173
"Andrew Vega",094-67-03,"Brass Monkey",704506-9023
"Angela Cooley",065-74-05,"EL ANDARIEGO",822937-5764
"Angela Cooley",065-74-05,N-EUROMART,913546-5087
"Angela Cooley",065-74-05,"Molly Gwynn's",408783-4273
"Angela Fleming",318-18-03,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Angela Fleming",318-18-03,SHANGRI'LA,392381-3350
"Angela Fleming",318-18-03,Eulipia,836692-8532
"Angela Huber",751-60-03,"John Bull Pub",936645-6904
"Angela Huber",751-60-03,"The Italian Job",664654-3022
"Angela Marshall",126-54-04,Neko,097147-8367
"Angela Marshall",126-54-04,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Angela Marshall",126-54-04,"BACCHUS OF LEBANON",397549-9173
"Angela Marshall",126-54-04,"Brass Monkey",704506-9023
"Angelica Byers",699-07-08,"John Donne Pub",575493-8545
"Angelica Byers",699-07-08,"GOURMET PUB",238323-5054
"Angelica Kelley",165-89-09,"PASSION FISH",994587-9188
"Angelica Kelley",165-89-09,"CHEESESTEAK MIKE'S",214195-2529
"Angelica Leblanc",475-63-04,"NEWS EXPRESS",615857-5438
"Angelica Leblanc",475-63-04,"The Bloomsbury Club Bar",032912-1156
"Angelica Russell",724-34-02,"EL AMATE RESTAURANT",284564-0263
"Angelica Russell",724-34-02,M&BZ,474140-4315
"Angelica Russell",724-34-02,"BANGKOK GARDEN RESTAURANT",577007-7120
"Angelica Savage",832-17-09,"MAMMA LUCIA",825954-1152
"Angelica Savage",832-17-09,"The Shark and Rose",385233-3057
"Angelica Savage",832-17-09,"WHEATON WINERY",426942-2970
"Angelica Savage",832-17-09,"MIDWAY PUB",589827-6299
"Anika England",842-36-02,"KWIK BAR & GRILL",343655-3428
"Anika England",842-36-02,"John Bull Pub",936645-6904
"Anika England",842-36-02,"The Italian Job",664654-3022
"Anika Howe",692-88-01,Moonshiner,807305-7500
"Anika Howe",692-88-01,"Aux Folies",178856-0090
"Anika Howe",692-88-01,Neko,097147-8367
"Anika Howe",692-88-01,"SOUTHLAWN RESTAURANT",558375-0236
"Anika Howe",692-88-01,"Brass Monkey",704506-9023
"Anika May",875-71-03,"PASSION FISH",994587-9188
"Anjolie Cleveland",422-61-04,"La Fine Mousse",234798-4284
"Anjolie Cleveland",422-61-04,"Connolly Station",638134-8991
"Anjolie Cleveland",422-61-04,"LOS COBANOS RESTAURANT",312938-5286
"Anjolie Guerrero",288-06-05,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Anjolie Guerrero",288-06-05,"THELO GREEK GRILL",577421-5163
"Anjolie Guerrero",288-06-05,"CLUB 175",843001-5555
"Anjolie Joseph",128-87-02,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Anjolie Joseph",128-87-02,"BACCHUS OF LEBANON",397549-9173
"Anjolie Mays",149-37-06,"GRAPE AND GRAIN BOUTIQUE",557483-4338
"Anjolie Mays",149-37-06,"RUSSIAN GOURMET",635427-3838
"Anjolie Mays",149-37-06,"CHICKEN BASKET",392762-0769
"Anjolie Preston",702-38-07,"Aux Folies",178856-0090
"Anjolie Preston",702-38-07,Neko,097147-8367
"Anjolie Preston",702-38-07,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Anjolie Preston",702-38-07,"BACCHUS OF LEBANON",397549-9173
"Anjolie Preston",702-38-07,"Brass Monkey",704506-9023
"Ann French",224-15-00,"THE BARKING DOG",953633-2746
"Ann Lang",131-37-04,"PASSION FISH",994587-9188
"Ann Lang",131-37-04,"Le Tr?s Particulier",432512-8710
"Ann Wilkins",854-42-06,"MAMMA LUCIA",825954-1152
"Ann Wilkins",854-42-06,"EL PAISANO",269448-6792
"Ann Wilkins",854-42-06,"WHEATON WINERY",426942-2970
"Ann Wilkins",854-42-06,"POSITANO RISTORANTE ITALIANO",784026-4704
"Ann Wilkins",854-42-06,"MIDWAY PUB",589827-6299
"Anne Carney",710-91-03,"WORLD OF BEER",749156-9476
"Anne Carney",710-91-03,"John Bull Pub",936645-6904
"Anne Carney",710-91-03,"The Italian Job",664654-3022
"Anne Coffey",243-93-05,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Anne Coffey",243-93-05,"LA MADELEINE",027174-2033
"Anne Floyd",711-33-01,"Blind Spot",065747-2833
"Anne Guzman",219-78-09,VACE,798423-6294
"Anne Guzman",219-78-09,"Beertep Craft Pub",052726-7009
"Anne Guzman",219-78-09,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Anne Landry",143-06-08,"EVA LOUNGE",243206-3382
"Anne Landry",143-06-08,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Anthony Baldwin",392-72-07,"ASPEN HILL BAR & GRILL",122581-2526
"Anthony Baldwin",392-72-07,SAMOVAR,569005-3193
"Anthony Baldwin",392-72-07,"Septime La Cave",207005-7456
"Anthony Baldwin",392-72-07,"Purple Bar at Sanderson",016922-4284
"Anthony Copeland",606-92-09,"Tavern U Okolitsy",302168-0412
"Anthony Copeland",606-92-09,"Long Bar",395573-9457
"Anthony Moon",261-26-07,"BARKING MAD CAFE",173337-7970
"Anthony Petty",414-83-09,"Mandy's Apothecary Irish Pub",036932-8331
"Anthony Petty",414-83-09,"NEW VILLAGE RESTAURANT",034706-7472
"Anthony Petty",414-83-09,"HUNAN NIGHT",619242-8172
"Aphrodite Jarvis",103-53-08,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Aphrodite Jarvis",103-53-08,Eulipia,836692-8532
"Aphrodite Justice",685-17-03,"LOCK 72 KITCHEN & BAR",797572-9430
"Aphrodite Justice",685-17-03,"ALL SET",604478-1638
"Aphrodite Justice",685-17-03,"Lord John Russell Pub",804154-3375
"Aphrodite Justice",685-17-03,"PETER CHANG'S CHINA BISTRO",578989-6023
"April Foster",770-83-04,"AY! JALISCO II",622517-0445
"April Foster",770-83-04,"Le Sherry Butt",024478-0706
"April Herrera",777-93-08,"MELLOW MUSHROOM",826547-8266
"April Parrish",519-06-08,"COUNTRY BOY CLUB",565494-6333
"April Parrish",519-06-08,"The Bloomsbury Club Bar",032912-1156
"Aquila Duran",178-66-00,"STAINED GLASS PUB",033215-5373
"Aquila Finch",129-26-01,"Guns & Bears Pub",066604-4524
"Aquila Finch",129-26-01,"The Lounge",557061-3801
"Aquila Finch",129-26-01,"EL PATIO",266006-4748
"Aquila Finch",129-26-01,"TEX'S PLACE",137395-0748
"Aquila Finch",129-26-01,"AMALFI RISTORANTE",128083-8887
"Aquila Williamson",708-71-00,"ADDISU GEBEYA",659375-5835
"Aquila Williamson",708-71-00,"THAI AT SILVER SPRING",887258-6824
"Arden Adkins",625-46-08,SHANGRI'LA,392381-3350
"Arden Garcia",712-14-00,"La Mezcaleria",059219-3288
"Arden Garcia",712-14-00,"EL MARIACHI",107629-9856
"Arden Garcia",712-14-00,"DAD'S BEER ",987820-7241
"Arden Garcia",712-14-00,"OUTTA THE WAY CAFE",993879-6407
"Arden Garcia",712-14-00,"MINERVA INDIAN CUISINE",636663-6196
"Arden Mcgee",475-60-01,"BACCHUS OF LEBANON",397549-9173
"Aretha Bruce",089-95-00,"THE GREENE TURTLE-Az",272426-2650
"Aretha Faulkner",177-99-08,"KWIK BAR & GRILL",343655-3428
"Aretha Faulkner",177-99-08,"WORLD OF BEER",749156-9476
"Aretha Faulkner",177-99-08,"Humble Grape - Battersea",289362-8384
"Aretha Long",262-46-02,"COUNTRY BOY CLUB",565494-6333
"Aretha Long",262-46-02,SAMANTHA'S,065321-9717
"Aretha Long",262-46-02,"OLNEY ALE HOUSE",103007-8750
"Ariana Avery",306-67-07,"J N K BEER & WINE",368909-3791
"Ariana Avery",306-67-07,"SHANGHAI VILLAGE",329549-8939
"Ariana Benton",645-02-02,"Les Trois 8",066016-1696
"Ariana Haley",702-79-08,"COUNTRY BOY CLUB",565494-6333
"Ariana Haley",702-79-08,SAMANTHA'S,065321-9717
"Ariana Haley",702-79-08,"Bar Hemingway",573547-0154
"Ariana Haley",702-79-08,"NEWS EXPRESS",615857-5438
"Ariana Haley",702-79-08,"OLNEY ALE HOUSE",103007-8750
"Ariana Larson",294-10-05,"PARTY TIME LOUNGE",513075-0960
"Ariana Larson",294-10-05,"THE YO YO CAFE",347113-2062
"Ariana Larson",294-10-05,"En Vrac",065245-1634
"Ariana Lowery",795-72-01,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Ariana Mercado",869-07-07,"TOTAL BAR",532821-8028
"Ariana Mercado",869-07-07,"Beaufort Bar",934943-7856
"Ariana Mercado",869-07-07,"MAMMA LENA",287813-8268
"Ariel Davis",286-77-04,"PINEY BRANCH PUB",574707-0877
"Ariel Davis",286-77-04,"TARA THAI RESTAURANT",033029-0636
"Ariel Davis",286-77-04,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Ariel Massey",857-98-07,"Guns & Bears Pub",066604-4524
"Ariel Massey",857-98-07,"The Lounge",557061-3801
"Ariel Massey",857-98-07,"YEKTA KABOBI",018125-2537
"Ariel Massey",857-98-07,"TOKYO SUSHI",963932-2784
"Ariel Massey",857-98-07,"AMALFI RISTORANTE",128083-8887
"Ariel Ochoa",613-16-00,M&BZ,474140-4315
"Aristotle Alston",874-50-06,"WATERSHED CAFE",668344-5222
"Armand Ewing",742-48-01,"Guns & Bears Pub",066604-4524
"Armand Ewing",742-48-01,"The Lounge",557061-3801
"Armand Ewing",742-48-01,"EL PATIO",266006-4748
"Armand Ewing",742-48-01,"BENIHANA OF TOKYO",746233-3159
"Armand Ewing",742-48-01,"AMALFI RISTORANTE",128083-8887
"Armand Huber",775-08-05,"PINEY BRANCH PUB",574707-0877
"Armand Huber",775-08-05,"TARA THAI RESTAURANT",033029-0636
"Armand Huber",775-08-05,"EVA LOUNGE",243206-3382
